name,address,source
Indian Institute of Technology Delhi,"IIT Delhi, Hauz Khas, New Delhi, Delhi 110016",Sample
Indian Institute of Technology Bombay,"IIT Bombay, Powai, Mumbai, Maharashtra 400076",Sample
Indian Institute of Technology Madras,"IIT Madras, Guindy, Chennai, Tamil Nadu 600036",Sample
Indian Institute of Technology Kanpur,"IIT Kanpur, Kalyanpur, Kanpur, Uttar Pradesh 208016",Sample
Indian Institute of Technology Kharagpur,"IIT Kharagpur, Kharagpur, West Bengal 721302",Sample
Indian Institute of Science,"IISc Bangalore, CV Raman Road, Bangalore, Karnataka 560012",Sample
All India Institute of Medical Sciences,"AIIMS Delhi, Ansari Nagar East, New Delhi, Delhi 110029",Sample
National Institute of Technology Tiruchirappalli,"NIT Trichy, Tiruchirappalli, Tamil Nadu 620015",Sample
Jawaharlal Nehru University,"JNU, New Mehrauli Road, New Delhi, Delhi 110067",Sample
Delhi University,"University of Delhi, North Campus, Delhi 110007",Sample
Banaras Hindu University,"BHU, Lanka, Varanasi, Uttar Pradesh 221005",Sample
Anna University,"Anna University, Guindy, Chennai, Tamil Nadu 600025",Sample
Jadavpur University,"Jadavpur University, 188 Raja S.C. Mallick Rd, Kolkata 700032",Sample
Aligarh Muslim University,"AMU, Aligarh, Uttar Pradesh 202002",Sample
Manipal Academy of Higher Education,"Manipal University, Madhav Nagar, Manipal, Karnataka 576104",Sample
Vellore Institute of Technology,"VIT University, Vellore, Tamil Nadu 632014",Sample
Birla Institute of Technology and Science,"BITS Pilani, Pilani, Rajasthan 333031",Sample
SRM Institute of Science and Technology,"SRM University, Kattankulathur, Chennai 603203",Sample
Jamia Millia Islamia,"Jamia Millia Islamia, Jamia Nagar, New Delhi 110025",Sample
Savitribai Phule Pune University,"SPPU, Ganeshkhind, Pune, Maharashtra 411007",Sample
National Institute of Technology Rourkela,"NIT Rourkela, Sector 1, Rourkela, Odisha 769008",Sample
Indian Institute of Technology Roorkee,"IIT Roorkee, Roorkee, Uttarakhand 247667",Sample
Indian Institute of Technology Guwahati,"IIT Guwahati, North Guwahati, Assam 781039",Sample
Tata Institute of Fundamental Research,"TIFR, Homi Bhabha Road, Mumbai 400005",Sample
Christian Medical College Vellore,"CMC Vellore, Ida Scudder Road, Vellore 632004",Sample
Indian Statistical Institute,"ISI Kolkata, 203 B.T. Road, Kolkata 700108",Sample
National Institute of Fashion Technology,"NIFT Delhi, Hauz Khas, New Delhi 110016",Sample
Indian Institute of Management Ahmedabad,"IIM-A, Vastrapur, Ahmedabad, Gujarat 380015",Sample
Indian Institute of Management Bangalore,"IIM-B, Bannerghatta Road, Bangalore 560076",Sample
Indian Institute of Management Calcutta,"IIM-C, Diamond Harbour Road, Kolkata 700104",Sample
